"","Level","Type","Accuracy"
"1","Level 1","One-stop shop data",0.899783384301733
"2","Level 2","One-stop shop data",0.863723241590214
"3","Level 3","One-stop shop data",0.839704383282365
"4","Level 4","One-stop shop data",0.814347604485219
"5","Level 5","One-stop shop data",0.800267584097859
"6","Level 1","Test data",0.950099932786502
"7","Level 2","Test data",0.930962535597698
"8","Level 3","Test data",0.908537795798946
"9","Level 4","Test data",0.89762622849133
"10","Level 5","Test data",0.88845361778173
